Luminosity,GlobalTemperature,WhitePopulation,BlackPopulation
0.8,0.9954996770847556,168,168
0.8,1.977239420780141,160,163
0.8,2.8372326579801435,154,159
0.8,3.827243880847275,144,154
0.8,4.550216980918338,141,151
0.8,5.40922460599344,136,143
0.8,6.202874717931793,131,138
0.8,7.2603131205870275,122,129
0.8,8.422277453791677,115,119
0.8,9.573518756303681,108,111
0.8,10.63770192506698,101,105
0.8,11.660989090269807,94,99
0.8,12.69821558436067,89,90
0.8,13.696327603307124,81,85
0.8,14.750189497555896,74,77
0.8,15.733414953677157,68,71
0.8,16.593020594536483,64,65
0.8,17.58014528933683,57,57
0.8,18.788436367823596,45,50
0.8,19.84249664413187,42,41
0.8,20.81969843760465,37,34
0.8,21.875018356427383,27,29
0.8,23.078160440051118,22,16
0.8,24.101169391097365,16,11
0.8,25.106003096686067,9,5
0.8,26.129905863086936,0,0
0.8,26.641817803255943,0,0
0.8,26.897905653332106,0,0
0.8,27.026018330673846,0,0
0.8,27.090102913520983,0,0
0.8,27.122155868107036,0,0
0.8,27.138186116228244,0,0
0.8,27.14620246085962,0,0
0.8,27.150210967373095,0,0
0.8,27.15221527510457,0,0
0.8,27.153217410971315,0,0
0.8,27.153718451998536,0,0
0.8,27.153968952073296,0,0
0.8,27.15409418920839,0,0
0.8,27.15415680031323,0,0
0.8,27.15418810176178,0,0
0.8,27.154203750301416,0,0
0.8,27.154211573433972,0,0
0.8,27.154215484417666,0,0
0.8,27.154217439614715,0,0
0.8,27.15421841706529,0,0
0.8,27.154218905717034,0,0
0.8,27.154219150006462,0,0
0.8,27.15421927213321,0,0
0.8,27.154219333187772,0,0
0.8,27.15421936371076,0,0
0.8,27.15421937897015,0,0
0.8,27.1542193865988,0,0
0.8,27.154219390412614,0,0
0.8,27.154219392319323,0,0
0.8,27.15421939327248,0,0
0.8,27.15421939374912,0,0
0.8,27.154219393987365,0,0
0.8,27.154219394106498,0,0
0.8,27.154219394166045,0,0
0.8,27.154219394195792,0,0
0.8,27.154219394210706,0,0
0.8,27.15421939421803,0,0
0.8,27.154219394221748,0,0
0.8,27.154219394223787,0,0
0.8,27.154219394224793,0,0
0.8,27.154219394225244,0,0
0.8,27.15421939422568,0,0
0.8,27.154219394225702,0,0
0.8,27.154219394225862,0,0
0.8,27.154219394225866,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.8,27.15421939422587,0,0
0.805,27.15421939422587,0,0
0.81,27.378519185247892,0,0
0.815,27.71358000968495,0,0
0.82,28.102649582581424,0,0
0.825,28.517368541656055,0,0
0.83,28.943573679944766,0,0
0.835,29.3741995695021,0,0
0.84,29.805729380449502,0,0
0.845,30.236420297437487,0,0
0.85,30.66541623464468,0,0
0.855,31.092304199825993,0,0
0.86,31.516892482704584,0,0
0.865,31.93909975533104,0,0
0.87,32.35889962828124,0,0
0.875,32.77629293455881,0,0
0.88,33.191293877221185,0,0
0.885,33.603923108679474,0,0
0.89,34.01420427569245,0,0
0.895,34.42216229705548,0,0
0.9,34.827822507490104,0,0
0.905,35.23121023448767,0,0
0.91,35.63235059150899,0,0
0.915,36.03126837921427,0,0
0.92,36.42798804059277,0,0
0.925,36.822533642915865,0,0
0.93,37.21492887297157,0,0
0.935,37.6051970388571,0,0
0.94,37.99336107488851,0,0
0.945,38.37944354801672,0,0
0.95,38.76346666485118,0,0
0.955,39.14545227889834,0,0
0.96,39.52542189782254,0,0
0.965,39.90339669060633,0,0
0.97,40.279397494574326,0,0
0.975,40.65344482226202,0,0
0.98,41.025558868120925,0,0
0.985,41.39575951505364,0,0
0.99,41.76406634078999,0,0
0.995,42.13049862409368,0,0
1.0,42.4950753508236,0,0
1.005,42.85781521983571,0,0
1.01,43.218736648740645,0,0
1.015,43.577857779508754,0,0
1.02,43.93519648395401,0,0
1.025,44.29077036906449,0,0
1.03,44.644596782209796,0,0
1.035,44.99669281622481,0,0
1.04,45.34707531436049,0,0
1.045,45.6957608751229,0,0
1.05,46.0427658569897,0,0
1.055,46.388106383019284,0,0
1.06,46.73179834534247,0,0
1.065,47.07385740955927,0,0
1.07,47.414299019013484,0,0
1.075,47.753138398988796,0,0
1.08,48.090390560784776,0,0
1.085,48.426070305717495,0,0
1.09,48.76019222901013,0,0
1.095,49.092770723607025,0,0
1.1,49.42381998389249,0,0
1.105,49.75335400932747,0,0
1.11,50.08138660799819,0,0
1.115,50.40793140009638,0,0
1.12,50.73300182130783,0,0
1.125,51.05661112612926,0,0
1.13,51.378772391120016,0,0
1.135,51.69949851805718,0,0
1.14,52.018802237054445,0,0
1.145,52.336696109581695,0,0
1.15,52.65319253143898,0,0
1.155,52.96830373564958,0,0
1.16,53.28204179530439,0,0
1.165,53.59441862633471,0,0
1.17,53.9054459902274,0,0
1.175,54.215135496685136,0,0
1.18,54.5234986062278,0,0
1.185,54.83054663272988,0,0
1.19,55.136290745925606,0,0
1.195,55.44074197382979,0,0
1.2,55.743911205143974,0,0
1.205,56.0458091915789,0,0
1.21,56.34644655014766,0,0
1.215,56.645833765410636,0,0
1.22,56.94398119165995,0,0
1.225,57.24089905508066,0,0
1.23,57.53659745584461,0,0
1.235,57.83108637018388,0,0
1.24,58.124375652392864,0,0
1.245,58.416475036830924,0,0
1.25,58.70739413984073,0,0
1.255,58.997142461654796,0,0
1.26,59.28572938826789,0,0
1.265,59.57316419324105,0,0
1.27,59.859456039506306,0,0
1.275,60.14461398111583,0,0
1.28,60.428646964954694,0,0
1.285,60.71156383243764,0,0
1.29,60.99337332114195,0,0
1.295,61.27408406644319,0,0
1.3,61.5537046031005,0,0
1.305,61.83224336680506,0,0
1.31,62.10970869571439,0,0
1.315,62.38610883195187,0,0
1.32,62.66145192307112,0,0
1.325,62.935746023497025,0,0
1.33,63.20899909594848,0,0
1.335,63.48121901280903,0,0
1.34,63.75241355750813,0,0
1.345,64.02259042584045,0,0
1.35,64.29175722728031,0,0
1.355,64.5599214862762,0,0
1.36,64.8270906435042,0,0
1.365,65.0932720571017,0,0
1.37,65.35847300390566,0,0
1.375,65.62270068061686,0,0
1.38,65.88596220500041,0,0
1.385,66.148264617012,0,0
1.39,66.40961487994515,0,0
1.395,66.67001988153062,0,0
1.4,66.92948643503027,0,0
1.405,67.18802128030234,0,0
1.41,67.44563108486172,0,0
1.415,67.70232244489864,0,0
1.42,67.9581018863011,0,0
1.425,68.21297586564992,0,0
1.43,68.46695077118979,0,0
1.435,68.72003292380435,0,0
1.44,68.972228577943,0,0
1.445,69.2235439225619,0,0
1.45,69.47398508202413,0,0
1.455,69.72355811700444,0,0
1.46,69.97226902537085,0,0
1.465,70.22012374303988,0,0
1.47,70.46712814482991,0,0
1.475,70.71328804530101,0,0
1.48,70.95860919958028,0,0
1.485,71.20309730414937,0,0
1.49,71.4467579976684,0,0
1.495,71.68959686172417,0,0
