Luminosity,GlobalTemperature,WhitePopulation,BlackPopulation
0.8,37.749005110386285,11,599
0.8,37.62610938024374,11,584
0.8,37.42511529018087,12,573
0.8,37.28733747674149,13,573
0.8,37.45416930380567,13,597
0.8,37.853074129803794,13,630
0.8,38.36304506269212,13,662
0.8,38.94651839491588,12,692
0.8,39.66702554704418,9,725
0.8,40.155182055259054,9,738
0.8,40.390702308816245,9,737
0.8,40.49537280866724,9,735
0.8,40.54270016371622,9,735
0.8,40.49062303711273,10,731
0.8,40.34739495680304,11,723
0.8,40.24623739654734,12,724
0.8,40.193022432773475,12,724
0.8,39.9754814240772,13,708
0.8,39.738073964746214,13,695
0.8,39.58435218405035,12,688
0.8,39.577558359750576,10,688
0.8,39.43758670964024,11,677
0.8,39.412684892619524,9,674
0.8,39.199384539393876,8,649
0.8,38.84957220046134,9,627
0.8,38.42540173293901,10,606
0.8,38.040198839847754,11,592
0.8,37.69643888592702,12,580
0.8,37.46071432741782,12,573
0.8,37.209346515079964,13,563
0.8,37.02934794510453,15,565
0.8,36.95712461213058,15,567
0.8,37.055303543056816,15,581
0.8,37.17659091145647,17,597
0.8,37.5724733890546,17,632
0.8,38.09728622695932,18,670
0.8,38.589795779959054,19,698
0.8,39.07524446744023,19,723
0.8,39.54020545412495,19,746
0.8,39.83126321319212,18,748
0.8,39.97664601008911,18,748
0.8,40.07469092075664,18,751
0.8,40.20927225936072,17,756
0.8,40.22877027375945,17,751
0.8,40.13403455183813,18,744
0.8,39.93255523190719,19,732
0.8,39.82378141939724,18,728
0.8,39.59713759024902,18,710
0.8,39.44554074292978,18,706
0.8,39.34805446169052,18,704
0.8,39.2645327245089,17,696
0.8,39.190766025821056,16,689
0.8,39.15456223439552,14,681
0.8,39.03901078333559,13,667
0.8,38.80137843904781,12,645
0.8,38.52813016176498,11,625
0.805,38.156705837208854,12,604
0.81,38.083940702329315,12,592
0.815,38.13622692812266,11,573
0.82,38.2325928286344,11,558
0.825,38.326047233337185,10,536
0.83,38.47127073032966,10,523
0.835,38.59497013003415,12,513
0.84,38.768885624493755,12,502
0.845,39.01615245499704,15,508
0.85,39.32637228895793,15,505
0.855,39.51187968737936,18,497
0.86,39.643114300801656,21,491
0.865,39.857531453050974,22,489
0.87,40.00229394977853,24,479
0.875,40.11237354561955,27,473
0.88,40.14700705879388,31,465
0.885,40.05917098517146,37,457
0.89,39.95625152041891,42,449
0.895,39.898651431550455,46,443
0.9,39.78838432870285,51,433
0.905,39.67694266192058,55,421
0.91,39.51624586234114,59,405
0.915,39.29766707742101,64,390
0.92,38.97091745305649,73,383
0.925,38.50297080413028,82,366
0.93,37.91484777223791,93,351
0.935,37.134942434059816,103,319
0.94,36.251205163961544,114,290
0.945,35.153460210706555,130,263
0.95,34.00928651475931,147,247
0.955,32.86595262455187,163,230
0.96,31.803057861449297,177,214
0.965,30.513636609129822,198,198
0.97,29.05250404055815,223,192
0.975,27.472095080797757,251,193
0.98,26.050591333476934,273,193
0.985,24.829235280593398,294,202
0.99,23.61549514560907,316,205
0.995,22.506065515541863,335,208
1.0,21.00370305781806,366,211
1.005,19.62449516885207,388,213
1.01,18.67374574924583,401,215
1.015,17.762413106842324,418,217
1.02,16.912686458440756,432,213
1.025,15.969028058624788,450,211
1.03,14.690684526667571,475,209
1.035,13.187046856913277,501,205
1.04,11.90842640064242,519,202
1.045,11.037582464579092,530,199
1.05,10.558638544298566,537,202
1.055,10.09552446317586,547,204
1.06,10.043666089473371,546,204
1.065,10.21936068579254,546,208
1.07,10.371834499026942,549,207
1.075,10.94681787868817,542,213
1.08,11.635402196018529,537,218
1.085,12.4071872058603,531,221
1.09,13.484374138917028,521,236
1.095,14.850501874663347,506,246
1.1,16.36559222063409,491,258
1.105,17.669610905185014,483,268
1.11,18.6574234584492,478,267
1.115,19.510708668224705,473,271
1.12,20.068465779826038,476,278
1.125,20.743288192989656,472,285
1.13,21.166109569427,476,291
1.135,20.85915518952034,494,293
1.14,20.899529294952433,495,300
1.145,20.853273191272052,502,302
1.15,20.98642480615863,503,306
1.155,21.77100378344248,491,314
1.16,23.007849357199625,475,320
1.165,24.19318387309378,465,322
1.17,24.692865975314508,470,320
1.175,24.520414308506027,483,314
1.18,24.23927620674048,492,311
1.185,23.754495287705726,506,312
1.19,23.205058331007773,517,305
1.195,22.9338640784337,519,299
1.2,22.320094923209687,534,291
1.205,21.65985057441382,545,280
1.21,20.67825328691278,564,270
1.215,19.67853910750939,577,253
1.22,18.588113792865038,592,235
1.225,17.380004417098075,609,216
1.23,16.488861956811366,618,204
1.235,15.59316815052361,631,193
1.24,14.836746418636192,641,183
1.245,14.429347399960132,642,171
1.25,14.311819517123936,640,159
1.255,13.881714525403428,650,147
1.26,13.830489902275277,648,141
1.265,13.105323599554792,668,133
1.27,12.530688616723843,676,126
1.275,12.154654903697777,680,118
1.28,11.077650677889906,704,106
1.285,9.942003020268778,721,97
1.29,9.01012398958259,733,91
1.295,8.955381344845987,725,86
1.3,9.377825500923699,717,85
1.305,9.798861874552411,714,83
1.31,9.7033373599365,724,76
1.315,9.240922012108419,738,75
1.32,8.47125429587154,754,70
1.325,8.020246579598052,759,68
1.33,8.037827932891929,755,65
1.335,8.435788761368537,748,64
1.34,8.445026846098703,757,62
1.345,8.764142130867803,753,63
1.35,8.937443095214155,756,62
1.355,8.955383785178437,760,58
1.36,9.174759606930385,757,55
1.365,9.335732662536458,759,54
1.37,9.191461746043394,768,52
1.375,9.106418919191194,771,50
1.38,9.477020535191478,763,47
1.385,9.832704306231884,762,46
1.39,10.151798195092514,761,43
1.395,10.009264468735259,771,40
